N, vector, devector, deque, circular
10, 354.891, 270.996, 67.1919, 319.998
20, 420.227, 349.695, 98.1895, 784.031
40, 550.898, 500.414, 141.809, 605.844
80, 678.602, 593.961, 160.369, 893.914
160, 950.336, 795.906, 347.469, 1395.81
320, 1413.62, 1078.04, 501.898, 2292.7
640, 2381.8, 1900.66, 1173.08, 4074.59
1280, 4038.94, 2886.66, 2061.05, 7460.19
2560, 7555.19, 5250.62, 4110.22, 14207.6
5120, 14350.1, 13566.1, 8790.62, 27750
10240, 28985.2, 22903.2, 16821, 54359.5
20480, 55309.5, 32786.8, 32311.5, 107578
40960, 110619, 64813, 62532.5, 249750
81920, 222000, 133428, 125825, 429935
163840, 561082, 258113, 243287, 911189
327680, 1.3358e+006, 710096, 498740, 2.05426e+006
655360, 3.02285e+006, 1.99458e+006, 1.11266e+006, 4.65858e+006
