N, vector, devector, deque, circular
10, 634.055, 349.695, 404.637, 452.895
20, 813.727, 421.715, 540.508, 586.539
40, 977.07, 549.414, 953.313, 813.73
80, 1306.72, 787, 1787.83, 1137.44
160, 1823.47, 1098.83, 3397.47, 1758.13
320, 2696.59, 1496.78, 5785.19, 2619.38
640, 3254.91, 2827.25, 11214, 4597.28
1280, 5725.81, 4288.41, 21905.4, 9289.56
2560, 10667.6, 7578.94, 44286, 16250.8
5120, 17201, 14302.6, 90092, 31931.5
10240, 33737, 27940, 174483, 60631.5
20480, 69945, 54739.5, 334901, 119743
40960, 145972, 107959, 707435, 236825
81920, 251650, 236445, 1.39282e+06, 472510
163840, 537894, 471750, 2.83849e+06, 1.07123e+06
327680, 1.90829e+06, 1.23963e+06, 5.72069e+06, 2.53476e+06
655360, 3.72991e+06, 3.06619e+06, 1.22613e+07, 5.19382e+06
