N, devector, deque, circular
10, 417.258, 109.512, 348.953
20, 537.531, 102.457, 415.773
40, 687.512, 141.066, 576.145
80, 662.266, 276.564, 882.031
160, 920.641, 351.922, 1401.75
320, 1265.14, 589.508, 2304.56
640, 2001.66, 1134.47, 4145.84
1280, 2981.69, 2132.33, 7483.94
2560, 5630.75, 4419.06, 14255.1
5120, 13970, 10501.2, 27750
10240, 17676.2, 20194.8, 63482.5
20480, 33071, 34402.2, 108339
40960, 90092, 67284, 215537
81920, 130387, 129626, 429935
163840, 280161, 269897, 970870
327680, 829079, 572867, 2.21468e+006
655360, 2.20442e+006, 1.23126e+006, 4.86728e+006
