N, devector, deque, circular
10, 472.199, 345.24, 403.895
20, 543.477, 513.773, 574.66
40, 721.664, 837.484, 751.363
80, 885, 1633.39, 1155.26
160, 1223.56, 3433.09, 1645.28
320, 1651.22, 5904, 2815.39
640, 2922.28, 12592, 4846.75
1280, 4822.97, 23948.6, 7982.88
2560, 8363, 48657.5, 16678.5
5120, 15965.5, 97315, 32026.5
10240, 28700, 187407, 62722.5
20480, 59681, 349726, 112140
40960, 109099, 716939, 221239
81920, 231883, 1.35633e+06, 484675
163840, 427274, 2.76398e+06, 1.13243e+06
327680, 1.43768e+06, 6.00009e+06, 2.37434e+06
655360, 3.08025e+06, 1.26753e+07, 5.2037e+06
