N, devector, deque, circular
10, 112.853, 194.151, 98.375
20, 132.899, 333.361, 205.66
40, 206.402, 590.992, 392.758
80, 296.238, 1155.26, 714.242
160, 507.836, 2506.52, 1380.96
320, 1042.41, 4977.41, 2732.22
640, 1657.16, 9099.5, 5452.59
1280, 3290.56, 19719.6, 10881.4
2560, 6581.13, 39629.3, 25089
5120, 13209.8, 72986, 46756.8
10240, 27464.8, 158137, 89712
20480, 54929.5, 304490, 191209
40960, 109479, 612401, 611641
81920, 246709, 1.27916e+06, 754952
163840, 465668, 2.50739e+06, 1.52131e+06
327680, 988357, 5.41734e+06, 3.12435e+06
655360, 2.23863e+06, 1.1108e+07, 6.1396e+06
