k, Partial Sorter, Pre-Sorter, Simple Quick Sorter
8, 7.8649, 1083.18, 53.6251
16, 7.86566, 1083.18, 53.6259
32, 7.86566, 1083.18, 53.6263
64, 7.86566, 1083.18, 53.627
128, 15.5341, 1083.18, 53.6305
256, 15.5348, 1083.18, 53.6377
512, 23.1146, 1083.18, 53.646
1024, 31.8237, 1083.18, 53.6704
2048, 41.0193, 1083.18, 53.7103
4096, 52.1542, 1083.18, 54.2732
8192, 68.4948, 1083.19, 54.7213
16384, 93.337, 1083.19, 55.2367
32768, 135.449, 1083.22, 56.2064
65536, 202.845, 1083.24, 57.8833
131072, 308.542, 1083.28, 65.7102
262144, 496.541, 1083.36, 74.766
524288, 832.594, 1083.48, 92.7102
1048576, 1459.07, 1083.71, 142.352
2097152, 2387.17,1084, 219.68
4194304, 3569.34, 1084.61, 428.108
8388608, 4102.78, 1085.75, 796.165
10000000, 4105.16, 1086.14, 919.948
