k, Pre-Sorter, Partial Sorter, Simple Quick Sorter, Skewed Quick Sorter, Heap Sorter
8, 9.49702, 0.197269, 1.20338, 0.130372, 1.48769
16, 9.49778, 0.197649, 1.20376, 0.130752, 1.48921
32, 9.49778, 0.197649, 1.20414, 0.131132, 1.49225
64, 9.49778, 0.197649, 1.20452, 0.131512, 1.49757
128, 9.49816, 0.44319, 1.20718, 0.137594, 1.50821
256, 9.49816, 0.44357, 1.21516, 0.141015, 1.52836
512, 9.49816, 0.834306, 1.24101, 0.158879, 1.56979
1024, 9.49854, 1.50517, 1.27407, 0.192327, 1.65189
2048, 9.49854, 2.66788, 1.35313, 0.250862, 1.82749
4096, 9.4993, 4.58963, 1.49339, 0.542014, 2.16805
8192, 9.50006, 7.60758, 1.791, 0.888279, 2.83512
16384, 9.50196, 11.9475, 2.49493, 1.83433, 4.11223
32768, 9.50842, 17.4326, 3.71276, 3.85453, 6.5703
65536, 9.51717, 21.8413, 6.40002, 7.04808, 11.2747
100000, 9.52819, 21.8949, 9.20131, 10.0223, 15.5835
