N,Partial Sorter, Pre-Sorter
8,7.8649, 1083.18
16, 7.86566, 1083.18
32, 7.86566, 1083.18
64, 7.86566, 1083.18
128, 15.5341, 1083.18
256, 15.5348, 1083.18
512, 23.1146, 1083.18
1024, 31.8237, 1083.18
2048, 41.0193, 1083.18
4096, 52.1542, 1083.18
8192, 68.4948, 1083.19
16384, 93.337, 1083.19
32768, 135.449, 1083.22
65536, 202.845, 1083.24
131072, 308.542, 1083.28
262144, 496.541, 1083.36
524288, 832.594, 1083.48
1048576, 1459.07, 1083.71
2097152, 2387.17,1084
4194304, 3569.34, 1084.61
8388608, 4102.78, 1085.75
10000000, 4105.16, 1086.14
