k, Pre-Sorter, Partial Sorter, Simple Quick Sorter, Skewed Quick Sorter, Heap Sorter
8, 0.657563, 0.055874, 0.092743, 0.025846, 0.146716
16, 0.657563, 0.056254, 0.093123, 0.026607, 0.148236
32, 0.657563, 0.056254, 0.093123, 0.030408, 0.150137
64, 0.657943, 0.056634, 0.095024, 0.030788, 0.154318
128, 0.657943, 0.141015, 0.098825, 0.031548, 0.16192
256, 0.657943, 0.141015, 0.109087, 0.056634, 0.177504
512, 0.657943, 0.307496, 0.124671, 0.068797, 0.209051
1024, 0.658323, 0.5671, 0.147857, 0.12125, 0.270627
2048, 0.658323, 0.960117, 0.264166, 0.190427, 0.387315
4096, 0.658703, 1.40331, 0.408221, 0.345885, 0.613091
8192, 0.659083, 1.67241, 0.68759, 0.652621, 1.03424
10000, 0.659463, 1.67545, 0.789075, 0.772351, 1.18855
